                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.5383,                 1.0154,                0.91236,                0.67289,                0.53471,                0.58286,                0.39026,                 1.5363,                 1.0245,                0.91934,             0.00035515,             0.00035515,             0.00035515
                     83,                 1.5459,                 1.0211,                0.91145,                0.70744,                0.53938,                0.60396,                0.41086,                 1.5154,                0.99562,                0.91715,             0.00035224,             0.00035224,             0.00035224
                     84,                 1.5257,                 1.0042,                 0.9112,                0.70216,                0.52786,                0.59334,                0.39697,                 1.5197,                 1.0159,                0.91689,             0.00034933,             0.00034933,             0.00034933
                     85,                 1.5058,                0.98515,                0.90455,                0.69063,                0.55452,                0.61177,                0.41042,                  1.512,                 1.0034,                0.91436,             0.00034642,             0.00034642,             0.00034642
                     86,                 1.5179,                0.98456,                0.90543,                0.70935,                0.53439,                0.59711,                 0.3924,                 1.5752,                 1.0029,                0.92603,             0.00034351,             0.00034351,             0.00034351
                     87,                 1.5333,                 1.0085,                0.91246,                0.70513,                0.54587,                0.60549,                0.41186,                 1.5625,                  1.006,                0.92161,              0.0003406,              0.0003406,              0.0003406
                     88,                  1.513,                0.99416,                0.90613,                0.67495,                0.55699,                0.61075,                0.41429,                 1.5224,                0.99127,                0.91456,             0.00033769,             0.00033769,             0.00033769
                     89,                 1.5122,                0.99036,                 0.9067,                0.73176,                0.54862,                0.61543,                  0.425,                 1.5137,                0.96104,                 0.9126,             0.00033478,             0.00033478,             0.00033478
                     90,                 1.5509,                0.99884,                0.90971,                0.73426,                0.55263,                0.61146,                0.41673,                 1.4971,                0.98476,                0.91295,             0.00033187,             0.00033187,             0.00033187
                     91,                 1.5024,                0.97978,                0.90368,                0.72711,                0.54238,                0.61168,                0.41334,                 1.4811,                 0.9808,                0.90802,             0.00032896,             0.00032896,             0.00032896
                     92,                 1.4956,                 0.9705,                0.90403,                0.72049,                0.55302,                0.62234,                0.41623,                 1.5169,                0.97638,                0.91057,             0.00032605,             0.00032605,             0.00032605
                     93,                 1.4761,                0.95766,                0.90238,                0.70838,                0.55581,                 0.6207,                0.41411,                 1.5141,                0.97362,                0.91338,             0.00032314,             0.00032314,             0.00032314
                     94,                 1.5008,                0.97304,                0.90392,                0.72121,                0.55048,                0.61449,                0.41949,                 1.5142,                0.98444,                0.91208,             0.00032022,             0.00032022,             0.00032022
                     95,                 1.5228,                 0.9923,                0.90645,                0.71315,                0.56027,                0.61963,                0.43159,                  1.482,                0.95226,                0.90803,             0.00031731,             0.00031731,             0.00031731
                     96,                 1.4947,                0.97137,                0.90072,                0.75948,                0.57634,                0.64464,                0.43071,                  1.521,                0.95697,                 0.9115,              0.0003144,              0.0003144,              0.0003144
                     97,                 1.5022,                0.96818,                0.90258,                0.73885,                0.56089,                0.62547,                0.43055,                 1.4761,                0.95766,                0.90691,             0.00031149,             0.00031149,             0.00031149
                     98,                 1.5196,                 0.9737,                0.89921,                 0.7312,                0.56972,                0.63102,                0.43399,                 1.4998,                  0.966,                0.91012,             0.00030858,             0.00030858,             0.00030858
                     99,                 1.4877,                0.96901,                 0.9105,                0.73048,                0.54797,                0.61467,                0.40749,                 1.5347,                0.97608,                 0.9179,             0.00030567,             0.00030567,             0.00030567
                    100,                 1.4943,                0.96983,                0.90104,                0.71749,                0.54689,                0.62626,                 0.4208,                 1.5109,                0.96864,                0.91421,             0.00030276,             0.00030276,             0.00030276
                    101,                  1.474,                0.94847,                0.89787,                0.70839,                0.56068,                0.61891,                0.42424,                 1.4986,                0.94707,                0.90922,             0.00029985,             0.00029985,             0.00029985
                    102,                 1.4974,                0.96055,                0.90361,                0.71738,                0.56217,                0.63134,                 0.4318,                 1.4717,                0.96596,                0.90464,             0.00029694,             0.00029694,             0.00029694
                    103,                  1.506,                 0.9682,                0.90345,                0.76535,                0.57982,                0.64573,                0.43999,                  1.451,                0.93878,                0.90428,             0.00029403,             0.00029403,             0.00029403
                    104,                 1.4768,                0.95545,                0.89969,                0.75205,                0.57136,                0.64295,                0.43817,                  1.474,                0.92974,                0.90471,             0.00029112,             0.00029112,             0.00029112
                    105,                 1.4764,                0.93772,                0.89779,                0.73805,                0.54992,                0.62271,                0.42011,                 1.4897,                0.95344,                0.90681,             0.00028821,             0.00028821,             0.00028821
                    106,                 1.4809,                0.95283,                0.89636,                0.75724,                0.55742,                0.63332,                0.42317,                 1.5093,                0.94976,                0.91048,              0.0002853,              0.0002853,              0.0002853
                    107,                 1.5088,                0.95635,                0.90206,                0.75178,                0.55604,                0.64049,                0.43742,                 1.4765,                0.92751,                0.90608,             0.00028239,             0.00028239,             0.00028239
                    108,                 1.5056,                0.96315,                 0.9043,                0.73874,                0.55617,                0.63709,                0.43098,                 1.4918,                0.93977,                 0.9066,             0.00027948,             0.00027948,             0.00027948
                    109,                 1.5121,                0.95615,                0.89861,                 0.7304,                0.56789,                0.63799,                0.42452,                 1.5177,                0.94724,                0.91074,             0.00027657,             0.00027657,             0.00027657
                    110,                 1.4527,                0.93082,                0.89505,                0.72442,                0.57004,                0.63249,                0.40697,                   1.56,                0.95381,                0.92038,             0.00027366,             0.00027366,             0.00027366
                    111,                 1.4594,                0.92433,                 0.8952,                0.74149,                0.57261,                0.64086,                0.43594,                 1.4584,                0.93847,                0.90505,             0.00027074,             0.00027074,             0.00027074
                    112,                 1.4493,                0.93171,                0.89639,                0.70831,                0.58461,                0.64509,                0.43959,                 1.4811,                0.92575,                0.90427,             0.00026783,             0.00026783,             0.00026783
                    113,                 1.4714,                 0.9344,                0.89982,                0.72163,                0.57087,                0.64184,                0.44063,                 1.4772,                0.93412,                0.90356,             0.00026492,             0.00026492,             0.00026492
                    114,                 1.4917,                0.94967,                 0.9019,                0.73934,                 0.5777,                0.64382,                0.44092,                 1.4639,                0.92876,                0.90212,             0.00026201,             0.00026201,             0.00026201
                    115,                 1.4751,                0.93468,                0.89535,                0.77544,                 0.5656,                 0.6444,                 0.4404,                 1.4609,                0.92356,                0.90373,              0.0002591,              0.0002591,              0.0002591
                    116,                 1.4422,                0.92055,                0.89679,                0.74786,                0.57808,                0.65076,                0.44987,                 1.4468,                0.90704,                0.90266,             0.00025619,             0.00025619,             0.00025619
                    117,                 1.4406,                0.92157,                0.89264,                0.71648,                0.58615,                0.64203,                0.42714,                   1.48,                0.92645,                0.90717,             0.00025328,             0.00025328,             0.00025328
                    118,                 1.4472,                0.91883,                 0.8953,                0.73332,                0.58881,                0.64454,                0.44257,                 1.4705,                0.92979,                0.90187,             0.00025037,             0.00025037,             0.00025037
                    119,                 1.4621,                0.93034,                 0.8953,                0.75328,                0.57783,                0.64923,                0.44071,                 1.4909,                0.94236,                0.90642,             0.00024746,             0.00024746,             0.00024746
                    120,                 1.4612,                0.92317,                0.89278,                0.73399,                0.58855,                0.65442,                0.45346,                 1.4416,                0.89764,                0.89957,             0.00024455,             0.00024455,             0.00024455
                    121,                 1.4736,                0.93202,                0.89473,                0.75963,                0.57697,                0.64803,                0.44072,                 1.4612,                0.91109,                0.90271,             0.00024164,             0.00024164,             0.00024164
                    122,                 1.4542,                0.92714,                0.89623,                0.71678,                0.59481,                0.65051,                0.44721,                 1.4683,                0.90408,                0.90382,             0.00023873,             0.00023873,             0.00023873
                    123,                 1.4518,                0.91579,                 0.8898,                0.72676,                0.58216,                0.64601,                0.44941,                 1.4407,                0.91837,                0.89829,             0.00023582,             0.00023582,             0.00023582
                    124,                 1.4474,                0.92072,                0.89769,                0.75994,                 0.5848,                0.65447,                0.44601,                 1.4527,                0.90986,                0.90077,             0.00023291,             0.00023291,             0.00023291
                    125,                 1.4595,                0.91623,                0.89397,                0.78124,                 0.5688,                0.65815,                 0.4591,                  1.428,                0.88873,                0.89622,                0.00023,                0.00023,                0.00023
                    126,                 1.4498,                0.90651,                0.89079,                0.74112,                0.59505,                0.65946,                0.45416,                 1.4326,                0.89596,                 0.8973,             0.00022709,             0.00022709,             0.00022709
                    127,                 1.4211,                0.89974,                0.89107,                0.72062,                0.59639,                0.65446,                 0.4535,                 1.4437,                0.89709,                0.89861,             0.00022417,             0.00022417,             0.00022417
                    128,                 1.4617,                0.91472,                0.89308,                0.75644,                 0.5776,                0.64051,                0.44299,                 1.4539,                0.91349,                0.89877,             0.00022126,             0.00022126,             0.00022126
                    129,                 1.4425,                0.91188,                0.89197,                0.80753,                0.57773,                0.66271,                0.46024,                 1.4337,                0.89752,                0.89865,             0.00021835,             0.00021835,             0.00021835
                    130,                 1.4483,                0.91727,                0.89603,                0.76372,                0.57648,                0.65535,                0.44816,                 1.4527,                0.89329,                0.89881,             0.00021544,             0.00021544,             0.00021544
                    131,                 1.4236,                0.89449,                0.89185,                  0.752,                0.58743,                0.65458,                0.44665,                 1.4354,                 0.8955,                0.89689,             0.00021253,             0.00021253,             0.00021253
